model,backend,model_id,audio_name,status,wer,cer,accuracy_percent,char_accuracy_percent,audio_duration_seconds,load_seconds,transcribe_seconds,realtime_factor,wall_seconds,device,compute_type,language,transcript_file,error
Whisper-Small-CT2,faster-whisper,small,VoiceTut-TTS.wav,ok,0.3680555555555556,0.16857314870559903,63.19,83.14,129.01,6.159001186000069,10.877241410000124,0.08431316494845457,45.922069369000155,cuda,float16,ar,/content/kaggle_working/asr_outputs/Whisper-Small-CT2__VoiceTut-TTS.txt,
Whisper-Large-v3-Turbo-CT2,faster-whisper,deepdml/faster-whisper-large-v3-turbo-ct2,VoiceTut-TTS.wav,ok,0.3159722222222222,0.16616496086694763,68.4,83.38,129.01,48.593904590999955,5.930650249000109,0.045970469335711264,68.72645994799996,cuda,float16,ar,/content/kaggle_working/asr_outputs/Whisper-Large-v3-Turbo-CT2__VoiceTut-TTS.txt,
Arabic-Whisper-Turbo-FT-CT2,faster-whisper,dev-ahmedhany/whisper-large-v3-turbo-arabic-ft-ct2-int8,VoiceTut-TTS.wav,ok,0.3923611111111111,0.1782059000602047,60.76,82.18,129.01,29.692963482999858,5.889006331000019,0.04564767328889248,45.70151258199985,cuda,int8_float16,ar,/content/kaggle_working/asr_outputs/Arabic-Whisper-Turbo-FT-CT2__VoiceTut-TTS.txt,
Arabic-Whisper-Large-v3-FT-CT2,faster-whisper,dev-ahmedhany/whisper-large-v3-arabic-ft-v3-ct2-int8,VoiceTut-TTS.wav,ok,0.3680555555555556,0.1794099939795304,63.19,82.06,129.01,35.17019821100007,17.42824237700006,0.13509218182311497,59.20307135999997,cuda,int8_float16,ar,/content/kaggle_working/asr_outputs/Arabic-Whisper-Large-v3-FT-CT2__VoiceTut-TTS.txt,
QwenCleo-ASR,qwencleo-asr,mohammedaly22/QwenCleo-ASR,VoiceTut-TTS.wav,ok,0.6631944444444444,0.588801926550271,33.68,41.12,129.01,5.157000032340875e-06,75.09423506400026,0.582080730672043,117.64344167000013,cuda,,Arabic,/content/kaggle_working/asr_outputs/QwenCleo-ASR__VoiceTut-TTS.txt,
Whisper-Large-v3-CT2,faster-whisper,Systran/faster-whisper-large-v3,VoiceTut-TTS.wav,ok,0.2708333333333333,0.11318482841661649,72.92,88.68,129.01,37.640945200999795,17.101099032999628,0.13255638348189774,59.872164512999916,cuda,float16,ar,/content/kaggle_working/asr_outputs/Whisper-Large-v3-CT2__VoiceTut-TTS.txt,
Qwen3-ASR-0.6B,qwen-asr,Qwen/Qwen3-ASR-0.6B,VoiceTut-TTS.wav,ok,0.6006944444444444,0.40096327513546054,39.93,59.9,129.01,21.38900783600002,24.64987937800015,0.19106952467250718,64.46566527499999,cuda:0,,Arabic,/content/kaggle_working/asr_outputs/Qwen3-ASR-0.6B__VoiceTut-TTS.txt,
Qwen3-ASR-1.7B,qwen-asr,Qwen/Qwen3-ASR-1.7B,VoiceTut-TTS.wav,ok,0.6527777777777778,0.5328115593016255,34.72,46.72,129.01,90.54860932699967,27.736344793999706,0.21499375857685224,137.57336785200005,cuda:0,,Arabic,/content/kaggle_working/asr_outputs/Qwen3-ASR-1.7B__VoiceTut-TTS.txt,
Audar-ASR-V1-Flash,qwen-asr,audarai/Audar-ASR-V1-Flash,VoiceTut-TTS.wav,ok,0.5069444444444444,0.41300421432871764,49.31,58.7,129.01,37.316671441999915,24.65881411700002,0.19113878084644617,83.91742981000016,cuda:0,,Arabic,/content/kaggle_working/asr_outputs/Audar-ASR-V1-Flash__VoiceTut-TTS.txt,
Voxtral-Mini-3B,transformers-voxtral,mistralai/Voxtral-Mini-3B-2507,VoiceTut-TTS.wav,ok,0.2847222222222222,0.10295003010234799,71.53,89.7,129.01,146.2408318060002,36.22365332900017,0.28078174815130746,199.5989441229999,cuda,,ar,/content/kaggle_working/asr_outputs/Voxtral-Mini-3B__VoiceTut-TTS.txt,
SeamlessM4T-v2-Large,transformers-seamless,facebook/seamless-m4t-v2-large,VoiceTut-TTS.wav,ok,0.4826388888888889,0.2895845875978326,51.74,71.04,129.01,133.4381012040003,17.38772198400011,0.1347780945973189,173.38080684199986,cuda,,arb,/content/kaggle_working/asr_outputs/SeamlessM4T-v2-Large__VoiceTut-TTS.txt,
MMS-1B-all,transformers-mms,facebook/mms-1b-all,VoiceTut-TTS.wav,ok,0.5763888888888888,0.26971703792895846,42.36,73.03,129.01,56.16182395800024,5.639007298999786,0.04370984651577232,83.72731978300044,cuda,,ara,/content/kaggle_working/asr_outputs/MMS-1B-all__VoiceTut-TTS.txt,
